월,일,요일,시작시간,경기상대,링크
5,6,금,18:30,삼성,https://ticket.giantsclub.com/member/Rsv/110020/assets/img/10000015.png
5,7,토,17:00,삼성,https://ticket.giantsclub.com/member/Rsv/110020/assets/img/10000015.png
5,8,일,14:00,삼성,https://ticket.giantsclub.com/member/Rsv/110020/assets/img/10000015.png
6,7,화,18:30,삼성,https://ticket.giantsclub.com/member/Rsv/110020/assets/img/10000015.png
6,8,수,18:30,삼성,https://ticket.giantsclub.com/member/Rsv/110020/assets/img/10000015.png
6,9,목,18:30,삼성,https://ticket.giantsclub.com/member/Rsv/110020/assets/img/10000015.png
8,25,목,18:30,삼성,https://ticket.giantsclub.com/member/Rsv/110020/assets/img/10000015.png
8,26,금,18:30,삼성,https://ticket.giantsclub.com/member/Rsv/110020/assets/img/10000015.png
5,10,화,18:30,NC,https://ticket.giantsclub.com/member/Rsv/110020/assets/img/10000025.png
5,11,수,18:30,NC,https://ticket.giantsclub.com/member/Rsv/110020/assets/img/10000025.png
5,12,목,18:30,NC,https://ticket.giantsclub.com/member/Rsv/110020/assets/img/10000025.png
8,5,금,18:30,NC,https://ticket.giantsclub.com/member/Rsv/110020/assets/img/10000025.png
8,6,토,18:00,NC,https://ticket.giantsclub.com/member/Rsv/110020/assets/img/10000025.png
8,7,일,17:00,NC,https://ticket.giantsclub.com/member/Rsv/110020/assets/img/10000025.png
9,10,토,14:00,NC,https://ticket.giantsclub.com/member/Rsv/110020/assets/img/10000025.png
9,11,일,14:00,NC,https://ticket.giantsclub.com/member/Rsv/110020/assets/img/10000025.png
5,27,금,18:30,키움,https://ticket.giantsclub.com/member/Rsv/110020/assets/img/10000005.png
5,28,토,17:00,키움,https://ticket.giantsclub.com/member/Rsv/110020/assets/img/10000005.png
5,29,일,14:00,키움,https://ticket.giantsclub.com/member/Rsv/110020/assets/img/10000005.png
6,24,금,18:30,키움,https://ticket.giantsclub.com/member/Rsv/110020/assets/img/10000005.png
6,25,토,17:00,키움,https://ticket.giantsclub.com/member/Rsv/110020/assets/img/10000005.png
6,26,일,17:00,키움,https://ticket.giantsclub.com/member/Rsv/110020/assets/img/10000005.png
9,15,목,18:30,키움,https://ticket.giantsclub.com/member/Rsv/110020/assets/img/10000005.png
9,16,금,18:30,키움,https://ticket.giantsclub.com/member/Rsv/110020/assets/img/10000005.png
5,31,화,18:30,LG,https://ticket.giantsclub.com/member/Rsv/110020/assets/img/10000010.png
6,1,수,17:00,LG,https://ticket.giantsclub.com/member/Rsv/110020/assets/img/10000010.png
6,2,목,18:30,LG,https://ticket.giantsclub.com/member/Rsv/110020/assets/img/10000010.png
8,2,화,18:30,LG,https://ticket.giantsclub.com/member/Rsv/110020/assets/img/10000010.png
8,3,수,18:30,LG,https://ticket.giantsclub.com/member/Rsv/110020/assets/img/10000010.png
8,4,목,18:30,LG,https://ticket.giantsclub.com/member/Rsv/110020/assets/img/10000010.png
9,3,토,17:00,LG,https://ticket.giantsclub.com/member/Rsv/110020/assets/img/10000010.png
9,4,일,14:00,LG,https://ticket.giantsclub.com/member/Rsv/110020/assets/img/10000010.png
6,10,금,18:30,KT,https://ticket.giantsclub.com/member/Rsv/110020/assets/img/10000028.png
6,11,토,17:00,KT,https://ticket.giantsclub.com/member/Rsv/110020/assets/img/10000028.png
6,12,일,17:00,KT,https://ticket.giantsclub.com/member/Rsv/110020/assets/img/10000028.png
8,18,목,18:30,KT,https://ticket.giantsclub.com/member/Rsv/110020/assets/img/10000028.png
8,19,금,18:30,KT,https://ticket.giantsclub.com/member/Rsv/110020/assets/img/10000028.png
6,17,금,18:30,SSG,https://ticket.giantsclub.com/member/Rsv/110020/assets/img/10000014.png
6,18,토,17:00,SSG,https://ticket.giantsclub.com/member/Rsv/110020/assets/img/10000014.png
6,19,일,17:00,SSG,https://ticket.giantsclub.com/member/Rsv/110020/assets/img/10000014.png
9,13,화,18:30,SSG,https://ticket.giantsclub.com/member/Rsv/110020/assets/img/10000014.png
9,14,수,18:30,SSG,https://ticket.giantsclub.com/member/Rsv/110020/assets/img/10000014.png
6,28,화,18:30,두산,https://ticket.giantsclub.com/member/Rsv/110020/assets/img/10000013.png
6,29,수,18:30,두산,https://ticket.giantsclub.com/member/Rsv/110020/assets/img/10000013.png
6,30,목,18:30,두산,https://ticket.giantsclub.com/member/Rsv/110020/assets/img/10000013.png
8,16,화,18:30,두산,https://ticket.giantsclub.com/member/Rsv/110020/assets/img/10000013.png
8,17,수,18:30,두산,https://ticket.giantsclub.com/member/Rsv/110020/assets/img/10000013.png
7,12,화,18:30,한화,https://ticket.giantsclub.com/member/Rsv/110020/assets/img/10000011.png
7,13,수,18:30,한화,https://ticket.giantsclub.com/member/Rsv/110020/assets/img/10000011.png
7,14,목,18:30,한화,https://ticket.giantsclub.com/member/Rsv/110020/assets/img/10000011.png
8,20,토,18:00,한화,https://ticket.giantsclub.com/member/Rsv/110020/assets/img/10000011.png
8,21,일,17:00,한화,https://ticket.giantsclub.com/member/Rsv/110020/assets/img/10000011.png
